Title,Type,BodyPart,Equipment,Level
Banded compass jump squat,Strength,Quadriceps,Body Only,Intermediate
In-out sprawl,Strength,Quadriceps,Body Only,Intermediate
Knee-tuck kick-up,Strength,Quadriceps,Body Only,Intermediate
Bear crawl donkey kick,Strength,Quadriceps,Body Only,Intermediate
Southpaw sprawl with push-up,Strength,Quadriceps,Body Only,Intermediate
Bouncing lunge,Strength,Quadriceps,Body Only,Intermediate
Bodyweight Squat - Gethin Variation,Strength,Quadriceps,Body Only,Intermediate
FYR Alternating Lunge,Strength,Quadriceps,Body Only,Intermediate
Bodyweight Walking Lunge - Gethin Variation,Strength,Quadriceps,Body Only,Intermediate
Seated Quad Contraction,Strength,Quadriceps,Body Only,Intermediate
HM Squat with Alternating Leg Extension,Strength,Quadriceps,Body Only,Intermediate
HM Air Squat,Strength,Quadriceps,Body Only,Intermediate
HM Alternating Jump Lunge,Strength,Quadriceps,Body Only,Intermediate
HM Alternating Lunge-In-Place,Strength,Quadriceps,Body Only,Intermediate
HM Alternating Side Lunge,Strength,Quadriceps,Body Only,Intermediate
HM Sumo Pulse,Strength,Quadriceps,Body Only,Intermediate
HM Sumo Squat,Strength,Quadriceps,Body Only,Intermediate
HM Alternating Side-Kick,Strength,Quadriceps,Body Only,Intermediate
HM Tuck-Up Burpee,Strength,Quadriceps,Body Only,Intermediate
HM Bear Crawl,Strength,Quadriceps,Body Only,Intermediate
HM Bear Stance Fire Hydrant,Strength,Quadriceps,Body Only,Intermediate
HM Walking Frankenstein,Strength,Quadriceps,Body Only,Intermediate
HM Walking Hip Stretch,Stretching,Quadriceps,Body Only,Intermediate
HM Wide Jump Squat,Strength,Quadriceps,Body Only,Intermediate
HM Boxer Shuffle,Strength,Quadriceps,Body Only,Intermediate
HM Running Lunge,Cardio,Quadriceps,Body Only,Intermediate
HM Bulgarian Split Squat On Chair,Strength,Quadriceps,Body Only,Intermediate
HM Burpee,Strength,Quadriceps,Body Only,Intermediate
HM Butterfly,Strength,Quadriceps,Body Only,Intermediate
HM Alternating Lunge Push-Up,Strength,Quadriceps,Body Only,Intermediate
HM Comet,Strength,Quadriceps,Body Only,Intermediate
HM Couch Stretch,Strength,Quadriceps,Body Only,Intermediate
HM Down Up,Strength,Quadriceps,Body Only,Intermediate
HM Duck Walk,Strength,Quadriceps,Body Only,Intermediate
HM Fragon,Strength,Quadriceps,Body Only,Intermediate
HM Frankenstein,Strength,Quadriceps,Body Only,Intermediate
HM Single-Leg Squat on Chair,Strength,Quadriceps,Body Only,Intermediate
HM Single-Leg Touchdown,Strength,Quadriceps,Body Only,Intermediate
HM Speed Skater,Strength,Quadriceps,Body Only,Intermediate
HM Squat Jump,Strength,Quadriceps,Body Only,Intermediate
HM Squat Lunge,Strength,Quadriceps,Body Only,Intermediate
HM Garland Pose,Strength,Quadriceps,Body Only,Intermediate
HM High Knees,Strength,Quadriceps,Body Only,Intermediate
HM In-And-Out Squat,Strength,Quadriceps,Body Only,Intermediate
HM In-And-Out Squat Jump,Strength,Quadriceps,Body Only,Intermediate
HM Jumping Jack,Strength,Quadriceps,Body Only,Intermediate
HM Jumping Knee-Up,Strength,Quadriceps,Body Only,Intermediate
HM Jumping Rope,Strength,Quadriceps,Body Only,Intermediate
HM Right Calf-Spike Sumo Pulse,Strength,Quadriceps,Body Only,Intermediate
HM Reverse Lunge with Kick,Strength,Quadriceps,Body Only,Intermediate
HM Left Knee-Up,Strength,Quadriceps,Body Only,Intermediate
HM Left-Leg Lunge And Kick-Out,Strength,Quadriceps,Body Only,Intermediate
HM Mountain Pose,Strength,Quadriceps,Body Only,Intermediate
HM Butt Kickers,Strength,Quadriceps,Body Only,Intermediate
HM Right-Leg Lunge And Kick-Out,Strength,Quadriceps,Body Only,Intermediate
HM Sumo Get-Up,Strength,Quadriceps,Body Only,Intermediate
AM Jump Squat,Strength,Quadriceps,Body Only,Intermediate
AM Bodyweight Squat,Strength,Quadriceps,Body Only,Intermediate
High knees sprawl drill,Strength,Quadriceps,Body Only,Intermediate
UP Bulgarian Split Squat,Strength,Quadriceps,Body Only,Intermediate
UN Forward Lunge,Strength,Quadriceps,Body Only,Intermediate
UN Front Foot Elevated Split Squat,Strength,Quadriceps,Body Only,Intermediate
UNS Half-Kneeling Hip Flexor Stretch,Strength,Quadriceps,Body Only,Intermediate
UNS Low Depth Jump,Strength,Quadriceps,Body Only,Intermediate
UNS Forward-To-Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Towel Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Towel Alternating Prisoner Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Towel Alternating Lateral Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Pull-Through Jump,Strength,Quadriceps,Body Only,Intermediate
Holman 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Foot-Elevated Knee-Up to Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Feet-Elevated Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Hands-Elevated Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Hands-Elevated Jack to Split Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Hands-Elevated Wide Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Hands-Elevated Squat Thrust to Split Jack,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Pulse,Strength,Quadriceps,Body Only,Intermediate
Holman Jump-Out Push-Up,Strength,Quadriceps,Body Only,Intermediate
Holman Alternating Forward Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Pilates Single-Leg Stretch,Strength,Quadriceps,Body Only,Intermediate
Holman Alternating Reverse Prisoner Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Narrow-Wide Squat Jump to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman 180 Jump to Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Imaginary Jump Rope,Strength,Quadriceps,Body Only,Intermediate
Holman Fast Feet with Hands Up,Strength,Quadriceps,Body Only,Intermediate
Holman Hands-Elevated Alternating Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Right Split Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Left Split Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Plyometric Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Quad Touch Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Skate,Strength,Quadriceps,Body Only,Intermediate
Holman Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Flying Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman 90-Degree Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Half Jack to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Quick Feet to Quad Touch Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Thrust to Push-Up to Super Woman,Strength,Quadriceps,Body Only,Intermediate
Holman Plyometric Jump to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Standing Heel Click to Hands Down Heel Click,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Traveling Low Jack to Belly Touch,Strength,Quadriceps,Body Only,Intermediate
Holman Flying Squat Thrust to Shoulder Tap,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Jump to Alternating Side Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Low Squat with Low Diagonal Dumbbell Punch,Strength,Quadriceps,Body Only,Intermediate
Holman Right Leg Hop to Right Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Left Leg Hop to Left Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Open Stance,Strength,Quadriceps,Body Only,Intermediate
Holman Diagonal Squat Thrust to Renegade Forward Punch,Strength,Quadriceps,Body Only,Intermediate
Holman Bear Crawl,Strength,Quadriceps,Body Only,Intermediate
Holman Bear Crawl to Donkey Kick,Strength,Quadriceps,Body Only,Intermediate
Holman Bear Crawl to Froggy Push-Up,Strength,Quadriceps,Body Only,Intermediate
Holman Bear Crawl to Shoulder Tap,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Tuck Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Flying Squat Thrust to Tuck Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Forward Lunge to Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Renegade Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Jump to Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Prisoner Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Wide-to-Narrow Squat Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Donkey Run,Strength,Quadriceps,Body Only,Intermediate
Holman Weighted Wide-to-Narrow Squat Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Wide-to-Narrow Donkey Kick,Strength,Quadriceps,Body Only,Intermediate
Holman Mule Kick,Strength,Quadriceps,Body Only,Intermediate
Holman Goal Post to Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Frogger Squat to Heel Click,Strength,Quadriceps,Body Only,Intermediate
Holman Stair Sprint,Strength,Quadriceps,Body Only,Intermediate
Holman Stair Bear Crawl,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Flying Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Flying Squat Thrust to Push-Up,Strength,Quadriceps,Body Only,Intermediate
Holman Foot-Elevated Step-To-Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Split Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Stair Climb,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee to Flying Jack,Strength,Quadriceps,Body Only,Intermediate
Holman Right Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Left Reverse Lunge,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Tap to Hop,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Tap to Jump-Forward-Jump-Back,Strength,Quadriceps,Body Only,Intermediate
Holman Squat Hip Drive,Strength,Quadriceps,Body Only,Intermediate
Holman Alternating Double Lunge Hop,Strength,Quadriceps,Body Only,Intermediate
Holman Right Reverse Lunge to Front Kick,Strength,Quadriceps,Body Only,Intermediate
Holman Right Leg Forward Lunge Hop,Strength,Quadriceps,Body Only,Intermediate
Holman Right Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Left Reverse Lunge to Front Kick,Strength,Quadriceps,Body Only,Intermediate
Holman Left Leg Forward Lunge Hop,Strength,Quadriceps,Body Only,Intermediate
Holman Left Side Diagonal Burpee,Strength,Quadriceps,Body Only,Intermediate
Holman Left Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Wide Squat Thrust,Strength,Quadriceps,Body Only,Intermediate
Holman Alternating Single-Leg Hop to Squat to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Right Lunge Hop to Chest Press,Strength,Quadriceps,Body Only,Intermediate
Holman Left Lunge Hop to Overhead Press,Strength,Quadriceps,Body Only,Intermediate
Holman 180 Jump Hop Forward Hop Back,Strength,Quadriceps,Body Only,Intermediate
Holman Right Split Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Left Split Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Double Squat Pulse to 180 Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Towel Left Side Squat,Strength,Quadriceps,Body Only,Intermediate
Holman Alternating Lunge Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Lunge Jump to Squat Jump,Strength,Quadriceps,Body Only,Intermediate
Holman Burpee with Belly Touch,Strength,Quadriceps,Body Only,Intermediate
Bootstrapper squat,Strength,Quadriceps,Body Only,Intermediate
Total Fitness Broad Jump,Strength,Quadriceps,Body Only,Intermediate
Total Fitness Lateral Lunge,Strength,Quadriceps,Body Only,Intermediate
Lateral shuffle,Strength,Quadriceps,Body Only,Intermediate
Total Fitness Skip,Strength,Quadriceps,Body Only,Intermediate
Total Fitness Spider Lunge,Strength,Quadriceps,Body Only,Intermediate
Spider lunge stretch,Strength,Quadriceps,Body Only,Intermediate
Spider lunge with T-rotation,Strength,Quadriceps,Body Only,Intermediate
Standing quad stretch,Strength,Quadriceps,Body Only,Intermediate
Vertical jump,Strength,Quadriceps,Body Only,Intermediate
King Maker Burpee,Strength,Quadriceps,Body Only,Intermediate
King Maker Explosive High Jump,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Skip,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Broad Jump,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Sprint,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Front Kick,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Side Kick,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Spin Kick,Strength,Quadriceps,Body Only,Intermediate
Muscle Beach Freestyle Kick,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Alternating Curtsy Lunge To Squat,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Alternating Curtsy Lunge With High Knee,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Alternating Diagonal Sprawl,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Alternating Lateral Sprawl,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Curtsy Lunge,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Frogger,Strength,Quadriceps,Body Only,Intermediate
MetaBurn High Knee Rotation,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Side-To-Side Lunge,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Star Jump,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Tuck Jump With Knee Slap,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Lateral Bounding Hop,Strength,Quadriceps,Body Only,Intermediate
MetaBurn Double Lunge,Strength,Quadriceps,Body Only,Intermediate
Robertson Sprinter Step-Up,Strength,Quadriceps,Body Only,Intermediate
FYR2 Front Kick-Through,Strength,Quadriceps,Body Only,Intermediate
Lunge high-knee clap,Strength,Quadriceps,Body Only,Intermediate
FYR2 Plyo Split Squat,Strength,Quadriceps,Body Only,Intermediate
FYR2 Reverse Burpee,Strength,Quadriceps,Body Only,Intermediate
FYR2 Reverse Burpee to Regular Burpee,Strength,Quadriceps,Body Only,Intermediate
FYR2 Reverse Burpee Tuck Jump,Strength,Quadriceps,Body Only,Intermediate
FYR2 Sprawlee,Strength,Quadriceps,Body Only,Intermediate
FYR2 Squat Hold,Strength,Quadriceps,Body Only,Intermediate
FYR2 Squat Jump,Strength,Quadriceps,Body Only,Intermediate
FYR2 Squat Pulse,Strength,Quadriceps,Body Only,Intermediate
Sprinter burpee,Strength,Quadriceps,Body Only,Intermediate
Shuttle run training,Strength,Quadriceps,Body Only,Intermediate
Medicine ball ninja,Plyometrics,Quadriceps,Full Gym,Intermediate
FYR Air Ball Plus Medicine Ball Jumping Sprawl,Strength,Quadriceps,Full Gym,Intermediate
Medicine ball cowboy squat,Strength,Quadriceps,Full Gym,Intermediate
Medicine ball jumping jill,Strength,Quadriceps,Full Gym,Intermediate
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps,Full Gym,Beginner
Sit Squats,Stretching,Quadriceps,Full Gym,Beginner
Frog Hops,Stretching,Quadriceps,Full Gym,Beginner
Dumbbell lateral hop to sprint,Plyometrics,Quadriceps,Full Gym,Intermediate
Smith machine lunge sprint,Strength,Quadriceps,Full Gym,Intermediate
Sissy squat,Strength,Quadriceps,Full Gym,Intermediate
Wall ball toss,Plyometrics,Quadriceps,Full Gym,Intermediate
Bosu Ball Squat,Strength,Quadriceps,Full Gym,Beginner
Exercise ball Bulgarian split squat,Strength,Quadriceps,Full Gym,Intermediate
Internal Rotation with Band,Strength,Shoulders,Full Gym,Beginner
Band Pull Apart,Strength,Shoulders,Full Gym,Intermediate
Back Flyes - With Bands,Strength,Shoulders,Full Gym,Beginner
Lateral Raise - With Bands,Strength,Shoulders,Full Gym,Beginner
Shoulder Press - With Bands,Strength,Shoulders,Full Gym,Beginner
External Rotation with Band,Strength,Shoulders,Full Gym,Beginner
FYR Band Pull-Apart,Strength,Shoulders,Full Gym,Intermediate
HM Lateral Raise,Strength,Shoulders,Full Gym,Intermediate
Rusin Banded Over-And-Back,Strength,Shoulders,Full Gym,Intermediate
Rusin Banded Face Pull,Strength,Shoulders,Full Gym,Intermediate
UP Band Pull-Apart,Strength,Shoulders,Full Gym,Intermediate
Jordan Shallow Band-Resisted Thread the Needle,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Seated Banded Barbell Shoulder Press,Strength,Shoulders,Full Gym,Intermediate
Band shoulder press,Strength,Shoulders,Full Gym,Intermediate
Band lateral raise,Strength,Shoulders,Full Gym,Intermediate
Band upright row,Strength,Shoulders,Full Gym,Intermediate
Staggered-stance band shoulder press,Strength,Shoulders,Full Gym,Intermediate
Single-arm banded landmine press,Strength,Shoulders,Full Gym,Intermediate
Band front raise rear fly row combo,Strength,Shoulders,Full Gym,Intermediate
Jordan Shallow Foam Roller Thoracic Extension,Strength,Shoulders,Full Gym,Intermediate
Jordan Shallow Thread the Needle (with Foam Roller),Strength,Shoulders,Full Gym,Intermediate
Clean and press,Strength,Shoulders,Full Gym,Intermediate
Clean and jerk,Olympic Weightlifting,Shoulders,Full Gym,Intermediate
Military press,Strength,Shoulders,Full Gym,Intermediate
Seated barbell shoulder press,Strength,Shoulders,Full Gym,Intermediate
Snatch-Grip Behind-The-Neck Overhead Press,Strength,Shoulders,Full Gym,Beginner
Standing Bradford press,Strength,Shoulders,Full Gym,Intermediate
Barbell Shoulder Press,Strength,Shoulders,Full Gym,Intermediate
Barbell rear delt bent-over row,Strength,Shoulders,Full Gym,Intermediate
Barbell upright row,Strength,Shoulders,Full Gym,Intermediate
Bradford/Rocky Presses,Strength,Shoulders,Full Gym,Beginner
Lying rear delt fly,Strength,Shoulders,Full Gym,Intermediate
Machine Shoulder (Military) Press,Strength,Shoulders,Full Gym,Intermediate
Standing Barbell Press Behind Neck,Strength,Shoulders,Full Gym,Intermediate
Barbell front raise,Strength,Shoulders,Full Gym,Intermediate
Overhead bar front raise,Strength,Shoulders,Full Gym,Intermediate
Incline barbell shoulder protraction,Strength,Shoulders,Full Gym,Intermediate
Behind-the-head push-press,Olympic Weightlifting,Shoulders,Full Gym,Intermediate
Rack Delivery,Olympic Weightlifting,Shoulders,Full Gym,Beginner
Smith Incline Shoulder Raise,Strength,Shoulders,Full Gym,Beginner
Tall Muscle Snatch,Olympic Weightlifting,Shoulders,Full Gym,Beginner
Axle Clean And Press,Strongman,Shoulders,Full Gym,Beginner
Jerk Balance,Olympic Weightlifting,Shoulders,Full Gym,Beginner
Seated EZ-bar shrug,Strength,Shoulders,Full Gym,Intermediate
Paul Carter Barbell Seated Military Press,Strength,Shoulders,Full Gym,Intermediate
TBS Barbell Military Press,Strength,Shoulders,Full Gym,Intermediate
Incline Front Barbell Raise - Gethin Variation,Strength,Shoulders,Full Gym,Intermediate
Barbell Front Raise - Gethin Variation,Strength,Shoulders,Full Gym,Intermediate
Single-arm barbell lateral raise,Strength,Shoulders,Full Gym,Intermediate
AM Upright Row,Strength,Shoulders,Full Gym,Intermediate
AM Barbell Shoulder Press,Strength,Shoulders,Full Gym,Intermediate
Standing barbell shoulder press,Strength,Shoulders,Full Gym,Intermediate
King Maker Barbell Thruster,Strength,Shoulders,Full Gym,Intermediate
Single-arm incline cable cross-over,Strength,Shoulders,Full Gym,Intermediate
Barbell bear complex,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Barbell Shrug,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Incline Face-Up Straight-Bar Front Raise,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Seated Dumbbell Shoulder Press,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Standing Behind-The-Head Shoulder Press,Strength,Shoulders,Full Gym,Intermediate
30 Shoulders Standing Barbell Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Wide Overhead Press,Strength,Shoulders,Full Gym,Intermediate
Single-arm kettlebell push-press,Strength,Shoulders,Full Gym,Intermediate
Two-Arm Kettlebell Military Press,Strength,Shoulders,Full Gym,Beginner
Alternating Kettlebell Press,Strength,Shoulders,Full Gym,Beginner
Single-arm kettlebell snatch,Strength,Shoulders,Full Gym,Intermediate
Single-arm kettlebell clean and jerk,Strength,Shoulders,Full Gym,Intermediate
Kettlebell pirate ship,Strength,Shoulders,Full Gym,Intermediate
Two-Arm Kettlebell Clean,Strength,Shoulders,Full Gym,Beginner
Double Kettlebell Push Press,Strength,Shoulders,Full Gym,Intermediate
Kettlebell Seated Press,Strength,Shoulders,Full Gym,Beginner
Double Kettlebell Jerk,Strength,Shoulders,Full Gym,Beginner
Kettlebell Arnold Press,Strength,Shoulders,Full Gym,Beginner
Double-kettlebell windmill,Strength,Shoulders,Full Gym,Intermediate
One-Arm Kettlebell Split Snatch,Strength,Shoulders,Full Gym,Beginner
One-Arm Kettlebell Para Press,Strength,Shoulders,Full Gym,Beginner
One-Arm Kettlebell Split Jerk,Strength,Shoulders,Full Gym,Beginner
One-Arm Kettlebell Military Press To The Side,Strength,Shoulders,Full Gym,Beginner
One-Arm Kettlebell Jerk,Strength,Shoulders,Full Gym,Beginner
Double Kettlebell Snatch,Strength,Shoulders,Full Gym,Beginner
Two-Arm Kettlebell Jerk,Strength,Shoulders,Full Gym,Beginner
FYR Kettlebell Power Clean,Strength,Shoulders,Full Gym,Intermediate
Kettlebell upright row,Strength,Shoulders,Full Gym,Intermediate
Kettlebell upright row and press,Strength,Shoulders,Full Gym,Intermediate
Single-arm kettlebell thruster,Strength,Shoulders,Full Gym,Intermediate
Double-kettlebell shoulder press,Strength,Shoulders,Full Gym,Intermediate
Double-kettlebell push-press,Strength,Shoulders,Full Gym,Intermediate
HM Kettlebell Windmill,Strength,Shoulders,Full Gym,Intermediate
HM Kettlebell Z-Press,Strength,Shoulders,Full Gym,Intermediate
Taylor Half-Kneeling Kettlebell Halo,Strength,Shoulders,Full Gym,Intermediate
Taylor Towel Kettlebell Farmer's Walk,Strength,Shoulders,Full Gym,Intermediate
FYR2 Double-Kettlebell Alternating Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Double-Kettlebell Thruster,Strength,Shoulders,Full Gym,Intermediate
FYR2 Half-Kneeling Kettlebell Clean,Strength,Shoulders,Full Gym,Intermediate
FYR2 Kettlebell Clean and Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Kettlebell High Pull to Overhead Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Kettlebell Swing Clean and Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Single-Arm Kettlebell Press,Strength,Shoulders,Full Gym,Intermediate
FYR2 Ascending-Rep High-Pull-Press Complex,Strength,Shoulders,Full Gym,Intermediate
Dumbbell front raise to lateral raise,Strength,Shoulders,Dumbbell,Intermediate
Single-arm palm-in dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Standing palms-in shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Seated Dumbbell Press,Strength,Shoulders,Dumbbell,Intermediate
Standing dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Single-arm lateral raise,Strength,Shoulders,Dumbbell,Intermediate
Power Partials,Strength,Shoulders,Dumbbell,Beginner
Incline dumbbell reverse fly,Strength,Shoulders,Dumbbell,Intermediate
Overhead dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate
Seated dumbbell shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Alternating standing shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Single-arm incline rear delt raise,Strength,Shoulders,Dumbbell,Intermediate
Alternating dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate
Alternating Deltoid Raise,Strength,Shoulders,Dumbbell,Intermediate
Single-dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate
Arnold press,Strength,Shoulders,Dumbbell,Intermediate
Single-arm standing shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate
Bent-over dumbbell rear delt row,Strength,Shoulders,Dumbbell,Intermediate
Incline dumbbell front raise,Strength,Shoulders,Dumbbell,Intermediate
Side Lateral Raise,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell external shoulder rotation,Strength,Shoulders,Dumbbell,Intermediate
Single-arm incline lateral raise,Strength,Shoulders,Dumbbell,Intermediate
Seated rear delt fly,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Raise,Strength,Shoulders,Dumbbell,Beginner
Seated Side Lateral Raise,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Lying Rear Lateral Raise,Strength,Shoulders,Dumbbell,Intermediate
Head-on-bench dumbbell rear delt raise,Strength,Shoulders,Dumbbell,Intermediate
Cuban press,Strength,Shoulders,Dumbbell,Intermediate
Reverse Flyes With External Rotation,Strength,Shoulders,Dumbbell,Beginner
Single-arm side lying rear fly,Strength,Shoulders,Dumbbell,Intermediate
Single-arm dumbbell upright row,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Scaption,Strength,Shoulders,Dumbbell,Beginner
See-Saw Press (Alternating Side Press),Strength,Shoulders,Dumbbell,Beginner
Dumbbell Incline Shoulder Raise,Strength,Shoulders,Dumbbell,Beginner
Single-arm half-kneeling shoulder press,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Clean And Jerk,Strength,Shoulders,Dumbbell,Beginner
Dumbbell shoulder press with body rotation,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Military Press,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Fix Standing Dumbbell Arnold Press,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Single-Arm Snatch,Strength,Shoulders,Dumbbell,Intermediate
Paul Carter Rear-Delt Fly,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell Shoulder Press,Strength,Shoulders,Dumbbell,Intermediate
FYR Single-Arm Dumbbell Press,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell Tempo L-Raise,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell seesaw shoulder press,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell front raise to lateral raise,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell Arnold Press,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell Military Press to Dumbbell High Pull to V-up,Strength,Shoulders,Dumbbell,Intermediate
FYR Dumbbell Thruster,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell hang snatch,Strength,Shoulders,Dumbbell,Intermediate
Surfer sprawl,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell clean and press,Strength,Shoulders,Dumbbell,Intermediate
Standing One-Arm Shoulder Press - Gethin Variation,Strength,Shoulders,Dumbbell,Intermediate
Incline Front Dumbbell Raise - Gethin Variation,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell lateral raise,Strength,Shoulders,Dumbbell,Intermediate
Incline Rear-Delt Fly - Gethin Variation,Strength,Shoulders,Dumbbell,Intermediate
Incline Bench Rear Dumbbell Fly - Gethin Variation,Strength,Shoulders,Dumbbell,Intermediate
Dumbbell front raise and press,Strength,Shoulders,Dumbbell,Intermediate
Rotator cuff warm-up,Strength,Shoulders,Dumbbell,Intermediate
Seated Lateral Raise - Gethin Variation,Strength,Shoulders,Dumbbell,Intermediate
Single-arm dumbbell arc row,Strength,Shoulders,Dumbbell,Intermediate
